keys,en,de
VERTICES,VERTICES,KNOTEN
EDGES,EDGES,KANTEN
MOVE,MOVE,BEWEGEN
RESET,RESET,ZURÜCKSETZEN
EXIT,EXIT,BEENDEN
VERTICES_TOOLTIP,Switch to VERTICES mode,Wechsel zum KNOTEN Modus
EDGES_TOOLTIP,Switch to EDGES mode,Wechsel zum KANTEN Modus
MOVE_TOOLTIP,Switch to MOVE mode,Wechsel zum BEWEGEN Modus
RESET_TOOLTIP,Clear the graph,Setze den Graphen zurück
BFS_TOOLTIP,Switch to BFS mode,Wechsel zum BFS Modus
DFS_TOOLTIP,Switch to DFS mode,Wechsel zum DFS Modus
LOCAL_TOOLTIP,Switch Language,Wechsel die Sprache
EXIT_TOOLTIP,Close the program,Beende das Programm
CURRENT_MODE,Current mode: ,Momentaner Modus: 
