keys,en,de
PICK,Pick a topic to visualize,Wähle ein Thema zur Visualisierung aus
GT,Graph Traversal,Breiten- und Tiefensuche
SLL,Simple Linked List,Einfach verkettete Liste
DLL,Doubly Linked List,Doppelt verkettete Liste
TT,Tree Traversal,Baumdurchlaufstrategien
AVL,AVL Tree (Restricted to Zettel 10),AVL Baum (Eingeschränkt auf Zettel 10)
HT,Hashtable,Hashtabelle
,,
FULLSCREEN,Fullscreen,Vollbildmodus
EXIT_DS,Exit to desktop,Zum Desktop beenden
,,
PICK_NODE,Pick Node to start Algorithm from,Wähle Startknoten aus
PICK_PRE,Pick a predecessor Node,Wähle Vorgängerknoten aus
VERTEX,vertex,knoten
VISITED, explored,erkundet
CALL,Call,Aufruf
RETURN_VALUE_OF,Return value of,Rückgabewert von
TERMINATE,Algorithm terminated and returned: ,Algorithmus terminierte und gab zurück: 
TERMINATE_2,Algorithm returned,Algorithmus terminierte
STACK,Call stack,Aufrufstapel
VARIABLES,Variables,Variablen
FINISHED,Finished,Fertig
RESET_SMALL,reset,zurücksetzen
ENTER_INTEGER_INS,Enter integer to insert,Ganzzahl eingeben
TUTORIAL," - You can move around by holding Shift + Leftclick or by holding the middle mouse button\n\n - You can also zoom in and out using the mouse wheel.\n\n - In the top-left corner you can pick an algorithm to perform on the given data structure\n\n - During the operation of most algorithms this window will include more information such as Pseudo- or C++-Code, Variables and the Callstack.\n\n - You can close or open this window by clicking on the white triangle. However it will open itself if its of significance for the visualisation of the algorithm.\n"," - Du kannst dich umher bewegen, indem du die Umschalttaste + Linksklick gedrückt hälst oder die mittlere Maustaste verwendest.\n\n - Außerdem kannst du mit dem Mausrad in beide Richtungen zoomen\n\n - In der oberen linken Ecke kannst du einen Algorithmus auswählen, der auf der gegebenen Datenstruktur ausgeführt wird.\n\n - Während der Ausführung der meisten Algorithmen enthält dieses Fenster weitere Informationen wie Pseudo- oder C++-Code, Variablen und/oder den Aufrufstapel.\n\n - Du kannst dieses Fenster schließen oder öffnen, indem du auf das weiße Dreieck klickst. Das Fenster wird automatisch geöffnet, falls es für die Visualisierung relevant ist.\n"
,,
AVL_BK_SHOW,Always show balance coefficients,Balancekoeffizienten immer zeigen
MODE,Mode: ,Modus: 
